country,1996,2002,2005,2008,2012,2000,1986,1987,1991,1992,1993,1994,1995,1997,1998,1999,2001,2003,2004,2006,2007,2009,2010,2011,2013,2014,1983,1985,1988,1990,1981,1982,1984,1989
Latvia,6.64,3.16,4.87,2.41,2.59,NA,NA,NA,NA,NA,2.1,NA,5.15,5.7,6.33,NA,NA,2.74,5.59,2.66,0.75,1.21,3.75,2.88,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA
Lesotho,NA,78.9,NA,NA,NA,NA,87.28,NA,NA,NA,NA,80.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,4.34,4.23,4.25,2.23,2.03,4.28,NA,NA,NA,NA,28.7,NA,NA,NA,2.96,3.73,4.43,1.6,1.93,2.69,1.81,4.36,3.14,1.69,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
Low & middle income,59.83,54.29,48.03,43.27,34.74,NA,NA,65.54,NA,NA,63.59,NA,NA,NA,NA,58.36,NA,NA,NA,NA,NA,NA,39.8,36.81,31.66,NA,NA,NA,NA,64.8,68.99,NA,68.22,NA
Low income,85.25,83.96,80.65,78.54,73.73,NA,NA,83.54,NA,NA,86.38,NA,NA,NA,NA,85.03,NA,NA,NA,NA,NA,NA,76.76,75.54,72.01,NA,NA,NA,NA,84.28,82.83,NA,83.52,NA
Lower middle income,70.53,67.86,63.31,59.43,48.75,NA,NA,74.23,NA,NA,73.04,NA,NA,NA,NA,70.06,NA,NA,NA,NA,NA,NA,55.01,51.24,46.27,NA,NA,NA,NA,71.76,76.37,NA,75.54,NA
Macedonia,NA,6.21,6.41,8.71,NA,17.99,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,6.99,6.51,8.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,NA,NA,89.86,NA,90.47,NA,NA,NA,NA,NA,87.63,NA,NA,86.01,NA,85.19,84.07,NA,NA,NA,NA,NA,92.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.15,NA,NA,NA,NA,90.07,NA,NA,NA,87.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
